python3 featureextract.py 
{'slip': 0.13023362426821744, 'pose': (-1.9507859245978896, 0.49382886387760916)}
{'slip': 0.12828768877991573, 'pose': (-1.9847469387962569, 0.49576675630795597)}
{'slip': 0.12463066063076186, 'pose': (-2.019506442064331, 0.49760002365726574)}
{'slip': 0.12244665884192474, 'pose': (-2.054762293987183, 0.4993127512505735)}
{'slip': 0.11841114636033442, 'pose': (-2.0906462445649736, 0.5009486909824821)}
{'slip': 0.11785351348674719, 'pose': (-2.1269587464478956, 0.5024222867512812)}
{'slip': 0.11355889591825763, 'pose': (-2.163965486463794, 0.5038476866788498)}
{'slip': 0.1123755967685475, 'pose': (-2.201114601578298, 0.5050781899370138)}
{'slip': 0.18205118648953417, 'pose': (-2.238596527027164, 0.50626407441704)}
{'slip': 0.15653896868726824, 'pose': (-2.2724703889519957, 0.5074762916864178)}
{'slip': 0.1380452095820263, 'pose': (-2.3016600102367493, 0.5091615328181691)}
{'slip': 0.12891371608608745, 'pose': (-2.328291084768218, 0.5112975893377762)}
{'slip': 0.1120886990803385, 'pose': (-2.352486107973176, 0.5136608908924143)}
{'slip': 0.0937843718982016, 'pose': (-2.3728040270450648, 0.5162419410254085)}
{'slip': 0.08650775411902457, 'pose': (-2.3904321110348814, 0.519377253252096)}
{'slip': 0.07914364306504643, 'pose': (-2.406765054101254, 0.5231105629421593)}
{'slip': 0.0633130873693162, 'pose': (-2.4205543662804523, 0.5269103537563078)}
{'slip': 0.05445965854727279, 'pose': (-2.431454955762334, 0.5307753373965401)}
{'slip': 0.05329394585921317, 'pose': (-2.441220774917853, 0.5353303314774528)}
{'slip': 0.04459066482191168, 'pose': (-2.4498477858928824, 0.5403227664983642)}
{'slip': 0.03316348495308843, 'pose': (-2.4559804867730417, 0.5449146905212523)}
{'slip': 0.03256951006972394, 'pose': (-2.4604861605009916, 0.5496247277360904)}
{'slip': 0.03225510219276505, 'pose': (-2.464523111146823, 0.5551100371620236)}
{'slip': 0.02262484631590942, 'pose': (-2.4671213375964767, 0.5604375421105433)}
{'slip': 0.017771420263266793, 'pose': (-2.4677748579142755, 0.5650170490574618)}
{'slip': 0.02124166726171271, 'pose': (-2.4677257619044997, 0.5699667067538622)}
{'slip': 0.01859641514315915, 'pose': (-2.467119543835083, 0.5753905550937627)}
{'slip': 0.010658096959507694, 'pose': (-2.4650096460833564, 0.5798670114746384)}
{'slip': 0.01199592272441486, 'pose': (-2.461860091433516, 0.583700643355469)}
{'slip': 0.01592167470333939, 'pose': (-2.45838869165242, 0.588116183147637)}
{'slip': 0.01082987084524116, 'pose': (-2.454156449636832, 0.5922936000938851)}
{'slip': 0.007140918573858626, 'pose': (-2.4490014849744988, 0.5950687305561726)}
{'slip': 0.012061784223820413, 'pose': (-2.4434979096464264, 0.5976723993131833)}
{'slip': 0.013609050250817463, 'pose': (-2.4376372469801604, 0.6006973278817475)}
{'slip': 0.0075940795805488175, 'pose': (-2.431224110779043, 0.6026169500578488)}
{'slip': 0.008318549659572141, 'pose': (-2.4245733416056106, 0.6032890364849952)}
{'slip': 0.013880912703513448, 'pose': (-2.4177137454437854, 0.6042000673584963)}
{'slip': 0.011756369023282424, 'pose': (-2.4104917911388943, 0.6049089432077335)}
{'slip': 0.007148825033656338, 'pose': (-2.4033478178421572, 0.6040381655478674)}
{'slip': 0.011209554503824014, 'pose': (-2.396329290307426, 0.6025181694445563)}
{'slip': 0.014462480500298988, 'pose': (-2.3889848233675894, 0.6012112640409569)}
{'slip': 0.009198410696204315, 'pose': (-2.3817330562690553, 0.5989046107327158)}
{'slip': 0.0077003487508727365, 'pose': (-2.3751916876061854, 0.5951836616810479)}
{'slip': 0.013236774287244327, 'pose': (-2.3686709558700696, 0.5913471020905462)}
{'slip': 0.2846832917972669, 'pose': (-2.361816258033416, 0.5874191052538527)}
{'slip': 0.2699294628152743, 'pose': (-2.3555721927979394, 0.5840229655417865)}
